1,0,9501,138,2205,122,1,3,12
1,0,2244,122,8986,122,1,2,9
1,0,2244,122,8986,122,1,2,9
1,0,5354,122,9484,0,1,0,5
1,0,5354,122,9484,0,1,0,5
1,0,5354,122,9484,0,1,0,5
1,0,8986,122,2244,122,1,2,8
1,0,8986,122,2244,122,1,2,8
1,0,8986,122,2408,122,1,2,8
1,0,8986,122,2408,122,1,2,8
1,0,9286,122,3022,122,0,1,6
1,0,2205,122,9501,138,1,3,11
1,0,3022,122,9286,122,0,1,6
1,0,9484,0,5354,122,1,0,5
1,0,9484,0,5354,122,1,0,5
1,0,9484,0,5354,122,1,0,5
1,0,5741,122,9492,122,1,0,5
1,0,2408,122,8986,122,1,2,9
1,0,2408,122,8986,122,1,2,9
1,3,9286,122,3022,156,1,4,12
1,3,3022,156,9286,122,1,3,11
1,4,2214,122,8986,122,1,2,10
1,2,8986,122,2214,122,1,2,11
1,5,9145,122,9484,156,1,4,11
1,5,9484,156,9145,122,1,4,10
1,3,803,122,3144,122,1,1,7
1,3,803,122,4616,122,1,1,7
1,3,2908,122,3719,122,1,1,7
2,0,6691,122,4084,154,1,1,6
2,0,4084,154,6691,122,1,0,5
2,0,9995,122,6607,65,2,0,6
2,1,1414,122,8408,122,1,1,7
2,3,1126,122,8986,122,1,2,10
2,3,7205,122,5206,122,1,2,10
2,3,8603,122,5206,122,1,3,11
2,2,5206,122,7205,122,1,2,11
2,2,5206,122,8603,122,1,2,11
2,2,8986,122,1126,122,1,2,11
2,5,8293,122,8710,122,1,1,7
2,5,3192,156,6781,122,1,1,7
3,0,810,56,1348,122,2,0,5
3,0,1348,122,810,56,2,0,6
3,0,5741,122,9492,122,1,0,5
3,3,9171,122,5206,122,1,3,11
3,3,4121,122,5206,122,1,2,10
3,4,3022,156,5767,122,1,3,10
3,2,8389,122,8068,122,0,2,8
3,2,8068,122,8389,122,0,2,8
3,2,5206,122,9171,122,1,2,11
3,2,5206,122,4121,122,1,2,11
4,0,4260,156,1871,122,1,0,5
4,0,9274,122,3048,39,1,0,5
4,0,1871,122,4260,156,1,0,5
4,0,1348,156,621,122,1,0,5
4,0,621,122,1348,156,1,0,5
4,3,7605,122,5206,122,1,2,10
4,2,5206,122,7605,122,1,2,11
4,5,1450,122,6607,156,1,5,13
4,5,3168,156,3288,122,1,1,8
4,3,7180,122,3719,122,1,1,7
4,3,7180,122,3807,122,1,1,7
4,3,7180,122,4506,122,1,1,7
4,3,7180,122,6095,122,1,1,7
4,3,7180,122,6808,122,1,1,7
4,3,7180,122,5367,122,1,1,7
4,3,7180,122,9631,122,1,1,7
4,3,7180,122,2064,122,1,1,7
5,0,810,56,1348,122,2,0,5
5,0,6520,122,8293,122,1,2,8
5,0,8986,122,6569,122,1,0,5
5,0,3749,122,9484,122,1,2,8
5,0,3749,122,9484,122,1,2,8
5,0,3749,122,9484,56,1,2,8
